
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,POR,Greg Oden,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174
2,2,SEA,Kevin Durant,University of Texas at Austin,8,569,21630,15537,3929,2002,.481,.379,.881,38.0,27.3,6.9,3.5,93.5,.208
3,3,ATL,Al Horford,University of Florida,8,478,16178,6780,4448,1276,.541,.339,.740,33.8,14.2,9.3,2.7,53.5,.159
4,4,MEM,Mike Conley,Ohio State University,8,568,18523,7603,1627,3165,.442,.375,.801,32.6,13.4,2.9,5.6,46.3,.120
5,5,BOS,Jeff Green,Georgetown University,7,535,17452,7648,2682,882,.438,.339,.791,32.6,14.3,5.0,1.6,27.0,.074
6,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025
7,7,MIN,Corey Brewer,University of Florida,8,527,13564,5357,1591,906,.428,.293,.706,25.7,10.2,3.0,1.7,16.1,.057
8,8,CHA,Brandan Wright,University of North Carolina,7,343,5449,2416,1238,152,.608,.000,.689,15.9,7.0,3.6,0.4,21.3,.188
9,9,CHI,Joakim Noah,University of Florida,8,528,15774,5118,5008,1503,.494,.000,.721,29.9,9.7,9.5,2.8,55.1,.168
10,10,SAC,Spencer Hawes,University of Washington,8,553,13432,5186,3410,1060,.461,.355,.699,24.3,9.4,6.2,1.9,19.2,.069
11,11,ATL,Acie Law,Texas A&amp;M University,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032
12,12,PHI,Thaddeus Young,Georgia Institute of Technology,8,572,17303,7862,3126,847,.496,.324,.698,30.3,13.7,5.5,1.5,37.9,.105
13,13,NOK,Julian Wright,University of Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061
14,14,LAC,Al Thornton,Florida State University,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035
15,15,DET,Rodney Stuckey,Eastern Washington University,8,536,15435,7151,1614,2053,.426,.296,.828,28.8,13.3,3.0,3.8,26.0,.081
16,16,WAS,Nick Young,University of Southern California,8,522,12400,6421,1066,557,.423,.376,.833,23.8,12.3,2.0,1.1,13.7,.053
17,17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073
18,18,GSW,Marco Belinelli,,8,482,11025,4567,969,785,.431,.394,.814,22.9,9.5,2.0,1.6,19.0,.083
19,19,LAL,Javaris Crittenton,Georgia Institute of Technology,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002
20,20,MIA,Jason Smith,Colorado State University,7,391,6804,2455,1407,282,.467,.284,.773,17.4,6.3,3.6,0.7,9.6,.068
21,21,PHI,Daequan Cook,Ohio State University,6,328,5993,2114,703,243,.369,.359,.813,18.3,6.4,2.1,0.7,4.9,.039
22,22,CHA,Jared Dudley,Boston College,8,583,14039,4994,1984,885,.469,.399,.736,24.1,8.6,3.4,1.5,32.9,.113
23,23,NYK,Wilson Chandler,DePaul University,8,426,13221,5815,2234,741,.441,.336,.779,31.0,13.7,5.2,1.7,18.3,.067
24,24,PHO,Rudy Fernandez,,4,249,5965,2254,608,554,.399,.360,.840,24.0,9.1,2.4,2.2,14.2,.114
25,25,UTA,Morris Almond,Rice University,3,38,361,119,46,12,.381,.292,.743,9.5,3.1,1.2,0.3,0.0,.005
26,26,HOU,Aaron Brooks,University of Oregon,7,460,10672,5085,839,1521,.413,.372,.847,23.2,11.1,1.8,3.3,16.6,.075
27,27,DET,Arron Afflalo,University of California Los Angeles,8,558,15611,6383,1668,1116,.454,.384,.818,28.0,11.4,3.0,2.0,28.6,.088
28,28,SAS,Tiago Splitter,,5,296,5824,2415,1555,366,.558,.000,.685,19.7,8.2,5.3,1.2,21.9,.181
29,29,PHO,Alando Tucker,University of Wisconsin,3,51,426,211,49,16,.423,.294,.783,8.4,4.1,1.0,0.3,0.4,.045
30,30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,SEA,Carl Landry,Purdue University,8,461,10679,5069,2340,320,.534,.176,.788,23.2,11.0,5.1,0.7,33.1,.149
32,32,BOS,Gabe Pruitt,University of Southern California,2,62,461,125,51,52,.321,.283,.783,7.4,2.0,0.8,0.8,0.4,.043
33,33,SAS,Marcus Williams,University of Arizona,2,13,39,14,12,3,.318,,,3.0,1.1,0.9,0.2,-0.1,-0.084
34,34,DAL,Nick Fazekas,University of Nevada Reno,1,26,269,107,89,11,.561,.000,.682,10.3,4.1,3.4,0.4,0.8,.148
35,35,SEA,Glen Davis,Louisiana State University,8,495,10584,4029,2184,442,.448,.189,.700,21.4,8.1,4.4,0.9,18.4,.083
36,36,GSW,Jermareo Davidson,University of Alabama,2,52,433,162,96,14,.425,,.578,8.3,3.1,1.8,0.3,0.0,.000
37,37,POR,Josh McRoberts,Duke University,8,367,7289,2076,1507,770,.478,.345,.707,19.9,5.7,4.1,2.1,17.4,.114
38,38,PHI,Kyrylo Fesenko,,5,135,1107,305,269,40,.496,.000,.410,8.2,2.3,2.0,0.3,0.9,.038
39,39,MIA,Stanko Barac,,,,,,,,,,,,,,,,
40,40,LAL,Sun Yue,,1,10,28,6,0,2,.273,.000,,2.8,0.6,0.0,0.2,-0.1,-0.226
41,41,MIN,Chris Richard,University of Florida,2,70,780,135,194,25,.483,,.605,11.1,1.9,2.8,0.4,0.7,.045
42,42,POR,Derrick Byars,Vanderbilt University,1,2,37,10,11,1,.273,.000,1.000,18.5,5.0,5.5,0.5,0.1,.147
43,43,NOK,Adam Haluska,University of Iowa,,,,,,,,,,,,,,,
44,44,ORL,Reyshawn Terry,University of North Carolina,,,,,,,,,,,,,,,
45,45,LAC,Jared Jordan,Marist College,,,,,,,,,,,,,,,
46,46,GSW,Stephane Lasme,University of Massachusetts Amherst,1,16,303,83,53,3,.451,,.594,18.9,5.2,3.3,0.2,0.3,.041
47,47,WAS,Dominic McGuire,California State University Fresno,6,342,5348,939,1169,422,.419,.188,.658,15.6,2.7,3.4,1.2,4.1,.037
48,48,LAL,Marc Gasol,,7,497,16781,6983,3925,1472,.510,.150,.758,33.8,14.1,7.9,3.0,56.1,.160
49,49,CHI,Aaron Gray,University of Pittsburgh,7,318,3851,1066,1190,207,.509,.000,.562,12.1,3.4,3.7,0.7,6.2,.077
50,50,DAL,Renaldas Seibutis,,,,,,,,,,,,,,,,
51,51,CHI,JamesOn Curry,Oklahoma State University,1,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,
52,52,POR,Taurean Green,University of Florida,1,17,74,27,10,11,.280,.182,.917,4.4,1.6,0.6,0.6,-0.1,-0.066
53,53,POR,Demetris Nichols,Syracuse University,2,18,58,22,7,2,.281,.200,.500,3.2,1.2,0.4,0.1,-0.2,-0.203
54,54,HOU,Brad Newley,,,,,,,,,,,,,,,,
55,55,UTA,Herbert Hill,Providence College,,,,,,,,,,,,,,,
56,56,MIL,Ramon Sessions,University of Nevada Reno,8,511,12825,5725,1465,2295,.434,.303,.797,25.1,11.2,2.9,4.5,22.5,.084
57,57,DET,Sammy Mejia,DePaul University,,,,,,,,,,,,,,,
58,58,SAS,Giorgos Printezis,,,,,,,,,,,,,,,,
59,59,PHO,D.J. Strawberry,University of Maryland,1,33,270,73,28,30,.315,.240,.474,8.2,2.2,0.8,0.9,-0.2,-0.031
60,60,DAL,Milovan Rakovic,,,,,,,,,,,,,,,,
