Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Andrew Wiggins,University of Kansas,1,60,2098,952,257,114,0.437,0.34,0.731,35,15.9,4.3,1.9,1.5,0.034
2,2,MIL,Jabari Parker,Duke University,1,25,738,308,138,42,0.49,0.25,0.697,29.5,12.3,5.5,1.7,1.4,0.09
3,3,PHI,Joel Embiid,University of Kansas,,,,,,,,,,,,,,,
4,4,ORL,Aaron Gordon,University of Arizona,1,27,415,146,83,18,0.529,0.45,0.643,15.4,5.4,3.1,0.7,0.7,0.085
5,5,UTA,Dante Exum,,1,60,1233,270,93,139,0.346,0.303,0.621,20.6,4.5,1.6,2.3,-0.1,-0.003
6,6,BOS,Marcus Smart,Oklahoma State University,1,45,1150,331,139,156,0.361,0.321,0.659,25.6,7.4,3.1,3.5,1.6,0.068
7,7,LAL,Julius Randle,University of Kentucky,1,1,14,2,0,0,0.333,,0,14,2,0,0,-0.1,-0.277
8,8,SAC,Nik Stauskas,University of Michigan,1,53,739,196,52,40,0.339,0.268,0.889,13.9,3.7,1,0.8,0.2,0.01
9,9,CHH,Noah Vonleh,Indiana University,1,12,96,33,26,2,0.423,0.2,0.714,8,2.8,2.2,0.2,0.2,0.118
10,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,1,62,1746,479,235,360,0.413,0.182,0.534,28.2,7.7,3.8,5.8,0.8,0.021
11,11,DEN,Doug McDermott,Creighton University,1,26,234,67,30,4,0.394,0.233,0.615,9,2.6,1.2,0.2,-0.2,-0.035
12,12,ORL,Dario Saric,,,,,,,,,,,,,,,,
13,13,MIN,Zach LaVine,University of California Los Angeles,1,55,1135,413,120,167,0.418,0.291,0.809,20.6,7.5,2.2,3,-0.6,-0.024
14,14,PHO,T.J. Warren,North Carolina State University,1,22,229,93,35,6,0.483,0.308,0.714,10.4,4.2,1.6,0.3,0.2,0.05
15,15,ATL,Adreian Payne,Michigan State University,1,10,178,48,46,1,0.305,0.143,0.688,17.8,4.8,4.6,0.1,-0.3,-0.077
16,16,CHI,Jusuf Nurkic,,1,45,814,322,300,41,0.441,0,0.667,18.1,7.2,6.7,0.9,1.5,0.09
17,17,BOS,James Young,University of Kentucky,1,25,276,87,38,11,0.361,0.255,0.565,11,3.5,1.5,0.4,0.3,0.049
18,18,PHO,Tyler Ennis,Syracuse University,1,16,187,64,15,28,0.397,0.3,0.8,11.7,4,0.9,1.8,-0.1,-0.028
19,19,CHI,Gary Harris,Michigan State University,1,34,437,113,41,21,0.266,0.194,0.719,12.9,3.3,1.2,0.6,-0.7,-0.071
20,20,TOR,Bruno Caboclo,,1,4,16,8,2,0,0.333,0.667,,4,2,0.5,0,0,-0.058
21,21,OKC,Mitch McGary,University of Michigan,1,14,215,97,73,4,0.506,0,0.654,15.4,6.9,5.2,0.3,0.7,0.155
22,22,MEM,Jordan Adams,University of California Los Angeles,1,18,131,46,12,7,0.474,0.455,0.5,7.3,2.6,0.7,0.4,0.2,0.076
